"property_id","address","city","state","zip","price","beds","baths","sqft","listing_url","description","source"
"local-75080-1","900 E Collins Blvd","Richardson","TX","75080","525000","3","2","1850","","Near UTD corridor with updated kitchen.","local_dataset"
"local-75080-2","1200 E Arapaho Rd","Richardson","TX","75080","610000","4","3","2420","","Open floor plan and two-car garage.","local_dataset"
"local-75080-3","1000 W Belt Line Rd","Richardson","TX","75080","475000","3","2","1710","","Well-maintained in established neighborhood.","local_dataset"
"local-75080-4","300 Campbell Rd","Richardson","TX","75080","540000","4","2","2100","","Updated master bath and hardwood floors.","local_dataset"
"local-75080-5","850 Greenville Ave","Richardson","TX","75080","498000","3","2","1920","","Cul-de-sac lot with large backyard.","local_dataset"
"local-75080-6","1500 N Plano Rd","Richardson","TX","75080","465000","3","2","1780","","Open concept with quartz countertops.","local_dataset"
"local-75080-7","720 W Spring Valley","Richardson","TX","75080","512000","4","3","2050","","Corner lot near Richardson ISD schools.","local_dataset"
"local-75080-8","2200 Audelia Rd","Richardson","TX","75080","555000","4","3","2300","","Freshly painted inside and out.","local_dataset"
"local-75080-9","400 Terrace Dr","Richardson","TX","75080","485000","3","2","1830","","Vaulted ceilings and stainless appliances.","local_dataset"
"local-75080-10","1800 N Jupiter Rd","Richardson","TX","75080","595000","4","3","2400","","Pool and outdoor kitchen on oversized lot.","local_dataset"
"local-75080-11","650 Floyd Rd","Richardson","TX","75080","510000","3","2","1950","","Remodeled kitchen with island seating.","local_dataset"
"local-75080-12","2800 Renner Rd","Richardson","TX","75080","570000","4","3","2280","","Smart home features and tankless water heater.","local_dataset"
"local-75078-1","1201 Richland Blvd","Prosper","TX","75078","665000","4","3","3100","","New construction in master-planned community.","local_dataset"
"local-75078-2","3405 Windsong Pkwy","Prosper","TX","75078","715000","5","4","3450","","Luxury with private pool and outdoor kitchen.","local_dataset"
"local-75078-3","820 Preston Rd","Prosper","TX","75078","589000","4","3","2780","","Move-in ready with wood floors throughout.","local_dataset"
"local-75078-4","4200 Frontier Pkwy","Prosper","TX","75078","698000","4","3","3200","","Game room and media room upstairs.","local_dataset"
"local-75078-5","1900 Prosper Trail","Prosper","TX","75078","645000","5","4","3350","","Resort-style community pool and splash pad.","local_dataset"
"local-75078-6","3100 N Coleman St","Prosper","TX","75078","574000","4","3","2850","","Open foyer with 20-foot ceilings.","local_dataset"
"local-75078-7","600 E First St","Prosper","TX","75078","618000","4","3","3050","","Corner lot near downtown Prosper.","local_dataset"
"local-75078-8","2500 Lakeview Dr","Prosper","TX","75078","740000","5","4","3600","","Backs to pond with private dock access.","local_dataset"
"local-75078-9","1400 Fishtrap Rd","Prosper","TX","75078","662000","4","3","3150","","Energy Star certified with solar panels.","local_dataset"
"local-75078-10","5000 Coit Rd","Prosper","TX","75078","585000","3","2","2600","","Single-story with split bedroom layout.","local_dataset"
"local-75078-11","900 S Church St","Prosper","TX","75078","630000","4","3","3000","","Upgraded tile throughout main living areas.","local_dataset"
"local-75078-12","3800 Pasewark Ln","Prosper","TX","75078","675000","5","4","3400","","Three-car garage with tandem bay.","local_dataset"
"local-75024-1","5001 Legacy Dr","Plano","TX","75024","525000","4","2","2400","","Vaulted ceilings near Legacy West.","local_dataset"
"local-75024-2","2800 McDermott Rd","Plano","TX","75024","489000","3","2","2100","","Stainless appliances and quartz counters.","local_dataset"
"local-75024-3","4200 Westside Dr","Plano","TX","75024","555000","4","3","2600","","Corner lot with large backyard.","local_dataset"
"local-75024-4","1100 Communications Pkwy","Plano","TX","75024","510000","3","2","2200","","Walk to restaurants and shops.","local_dataset"
"local-75024-5","3300 Dallas Pkwy","Plano","TX","75024","545000","4","3","2550","","Updated master suite with spa bath.","local_dataset"
"local-75024-6","6200 Windhaven Pkwy","Plano","TX","75024","590000","4","3","2750","","Community lake views from back patio.","local_dataset"
"local-75024-7","800 W Spring Creek Pkwy","Plano","TX","75024","475000","3","2","2050","","Freshly renovated with new carpet.","local_dataset"
"local-75024-8","4900 Town Crossing Dr","Plano","TX","75024","540000","4","3","2480","","Near Shops at Legacy and restaurants.","local_dataset"
"local-75024-9","2100 Summit Ave","Plano","TX","75024","498000","3","2","2120","","Open layout with formal dining room.","local_dataset"
"local-75024-10","5600 Tennyson Pkwy","Plano","TX","75024","560000","4","3","2620","","Three-car attached garage with EV outlet.","local_dataset"
"local-75024-11","3700 Hedgcoxe Rd","Plano","TX","75024","530000","4","2","2350","","New roof and HVAC in 2023.","local_dataset"
"local-75024-12","1400 Silverglen Dr","Plano","TX","75024","515000","3","2","2180","","Community trails and playground nearby.","local_dataset"
"local-75025-1","6100 Spring Creek Rd","Plano","TX","75025","545000","4","3","2550","","Great schools and freshly painted.","local_dataset"
"local-75025-2","1900 Independence Pkwy","Plano","TX","75025","498000","3","2","2150","","Island kitchen on cul-de-sac lot.","local_dataset"
"local-75025-3","3300 Parker Rd","Plano","TX","75025","570000","4","3","2700","","Spa bath and three-car garage.","local_dataset"
"local-75025-4","700 W Parker Rd","Plano","TX","75025","510000","3","2","2230","","Open floor plan with fireplace.","local_dataset"
"local-75025-5","4400 Alma Rd","Plano","TX","75025","553000","4","3","2580","","Updated bathrooms and new countertops.","local_dataset"
"local-75025-6","2600 Coit Rd","Plano","TX","75025","525000","4","2","2320","","Corner lot with mature shade trees.","local_dataset"
"local-75025-7","1200 Maumelle Dr","Plano","TX","75025","488000","3","2","2080","","Split bedrooms and large utility room.","local_dataset"
"local-75025-8","5800 Caruth Haven Ln","Plano","TX","75025","540000","4","3","2490","","Near top-rated elementary school.","local_dataset"
"local-75025-9","3000 Reston Dr","Plano","TX","75025","562000","4","3","2640","","Bonus room and covered back patio.","local_dataset"
"local-75025-10","900 Mapleshade Ln","Plano","TX","75025","515000","3","2","2200","","Hardwood floors in main living areas.","local_dataset"
"local-75025-11","4100 Hedgcoxe Rd","Plano","TX","75025","575000","4","3","2720","","Gourmet kitchen with double ovens.","local_dataset"
"local-75025-12","1600 Custer Rd","Plano","TX","75025","498000","3","2","2140","","Freshly updated and move-in ready.","local_dataset"
"local-75035-1","7890 Lebanon Rd","Frisco","TX","75035","610000","4","3","2900","","Smart home features with community pool.","local_dataset"
"local-75035-2","4120 Main St","Frisco","TX","75035","575000","4","3","2650","","Energy-efficient with large backyard.","local_dataset"
"local-75035-3","9200 Eldorado Pkwy","Frisco","TX","75035","640000","5","3","3200","","Media room and game room.","local_dataset"
"local-75035-4","2300 Rolater Rd","Frisco","TX","75035","590000","4","3","2800","","Backs to greenbelt with privacy fence.","local_dataset"
"local-75035-5","6500 Coit Rd","Frisco","TX","75035","615000","4","3","2950","","Chef's kitchen with quartz waterfall island.","local_dataset"
"local-75035-6","1400 Stacy Rd","Frisco","TX","75035","558000","3","2","2500","","Single-story with 3-car garage.","local_dataset"
"local-75035-7","8800 Preston Rd","Frisco","TX","75035","645000","5","4","3100","","Luxury primary suite with sitting area.","local_dataset"
"local-75035-8","3600 Panther Creek Pkwy","Frisco","TX","75035","598000","4","3","2820","","Community amenities within walking distance.","local_dataset"
"local-75035-9","5200 Frisco St","Frisco","TX","75035","572000","4","3","2680","","Updated flooring and light fixtures.","local_dataset"
"local-75035-10","1700 Independence Pkwy","Frisco","TX","75035","635000","5","3","3050","","Formal dining and dedicated study.","local_dataset"
"local-75035-11","7200 Teel Pkwy","Frisco","TX","75035","604000","4","3","2870","","Covered outdoor living area with fireplace.","local_dataset"
"local-75035-12","4800 DNT Frontage Rd","Frisco","TX","75035","620000","4","3","2960","","Close to Fields West entertainment district.","local_dataset"
"local-75034-1","6200 PGA Pkwy","Frisco","TX","75034","685000","5","4","3400","","Near PGA HQ with premium upgrades.","local_dataset"
"local-75034-2","2500 Preston Rd","Frisco","TX","75034","595000","4","3","2850","","Minutes from Stonebriar Mall.","local_dataset"
"local-75034-3","1100 Gaylord Pkwy","Frisco","TX","75034","620000","4","3","2950","","Butler's pantry and 10-foot ceilings.","local_dataset"
"local-75034-4","3900 Frisco Lakes Dr","Frisco","TX","75034","660000","4","3","3200","","Active adult community with lake access.","local_dataset"
"local-75034-5","5400 Legacy Dr","Frisco","TX","75034","598000","4","3","2800","","Open concept with 8-foot doors.","local_dataset"
"local-75034-6","800 Eldorado Pkwy","Frisco","TX","75034","640000","5","4","3150","","Second living area and wet bar.","local_dataset"
"local-75034-7","2200 Cotton Gin Rd","Frisco","TX","75034","572000","4","3","2700","","New paint and carpet throughout.","local_dataset"
"local-75034-8","4600 Lebanon Rd","Frisco","TX","75034","615000","4","3","2900","","Large secondary bedrooms with walk-ins.","local_dataset"
"local-75034-9","7000 Kingsbridge Dr","Frisco","TX","75034","658000","5","4","3300","","Backs to community pond with fountain.","local_dataset"
"local-75034-10","1800 Jeremey Dr","Frisco","TX","75034","580000","4","3","2720","","Bright open layout near top schools.","local_dataset"
"local-75034-11","3300 Frisco Square Blvd","Frisco","TX","75034","605000","4","3","2850","","Walking distance to shops and dining.","local_dataset"
"local-75034-12","5700 Maple Ridge Dr","Frisco","TX","75034","632000","4","3","3000","","Three-car garage and extended driveway.","local_dataset"
"local-75070-1","3200 Virginia Pkwy","McKinney","TX","75070","485000","4","2","2350","","Stone elevation with full brick.","local_dataset"
"local-75070-2","1650 N Lake Forest Dr","McKinney","TX","75070","510000","4","3","2500","","Backs to greenbelt with mature trees.","local_dataset"
"local-75070-3","2900 W University Dr","McKinney","TX","75070","465000","3","2","2150","","Updated kitchen in sought-after district.","local_dataset"
"local-75070-4","4500 Eldorado Pkwy","McKinney","TX","75070","498000","4","2","2280","","Corner lot with side-entry garage.","local_dataset"
"local-75070-5","900 Alma Rd","McKinney","TX","75070","520000","4","3","2480","","Pool with extended decking.","local_dataset"
"local-75070-6","5200 Stacy Rd","McKinney","TX","75070","475000","3","2","2100","","Vaulted ceilings and open concept.","local_dataset"
"local-75070-7","2100 Ridge Rd","McKinney","TX","75070","505000","4","3","2430","","Community parks and trails nearby.","local_dataset"
"local-75070-8","3700 Hardin Blvd","McKinney","TX","75070","490000","3","2","2200","","Large utility room and walk-in pantry.","local_dataset"
"local-75070-9","1200 Highlands Dr","McKinney","TX","75070","535000","4","3","2550","","Updated master bath and closet.","local_dataset"
"local-75070-10","4000 W Bethany Dr","McKinney","TX","75070","478000","4","2","2180","","New windows and smart thermostat.","local_dataset"
"local-75070-11","6100 Custer Rd","McKinney","TX","75070","512000","4","3","2460","","Backs to walking trail and pond.","local_dataset"
"local-75070-12","2600 Falcon Rd","McKinney","TX","75070","496000","3","2","2230","","Split plan with separate guest wing.","local_dataset"
"local-75071-1","4700 Hardin Blvd","McKinney","TX","75071","530000","4","3","2600","","Resort-style pool and walking trails.","local_dataset"
"local-75071-2","8100 Stacy Rd","McKinney","TX","75071","555000","4","3","2750","","Covered patio and outdoor fireplace.","local_dataset"
"local-75071-3","1500 Eldorado Pkwy","McKinney","TX","75071","510000","4","3","2480","","Open kitchen with breakfast bar.","local_dataset"
"local-75071-4","5800 N Lake Forest Dr","McKinney","TX","75071","545000","4","3","2630","","Energy-efficient with solar-ready conduit.","local_dataset"
"local-75071-5","2800 Custer Rd","McKinney","TX","75071","520000","3","2","2320","","Single-story with private study.","local_dataset"
"local-75071-6","3400 Virginia Pkwy","McKinney","TX","75071","558000","4","3","2680","","Community splash pad and sports courts.","local_dataset"
"local-75071-7","7200 Collin McKinney Pkwy","McKinney","TX","75071","575000","5","3","2900","","Media room with tiered seating.","local_dataset"
"local-75071-8","1900 Bloomdale Rd","McKinney","TX","75071","498000","3","2","2150","","Large fenced backyard with pergola.","local_dataset"
"local-75071-9","4100 Wilmeth Rd","McKinney","TX","75071","540000","4","3","2580","","Water softener and reverse osmosis.","local_dataset"
"local-75071-10","6600 Ridge Rd","McKinney","TX","75071","562000","4","3","2720","","Three-car garage with epoxy floors.","local_dataset"
"local-75071-11","2200 S Lake Forest Dr","McKinney","TX","75071","515000","4","2","2390","","Open dining with butler's pantry.","local_dataset"
"local-75071-12","900 W McKinney Pkwy","McKinney","TX","75071","530000","4","3","2500","","Bright windows throughout main level.","local_dataset"
"local-75013-1","1400 Exchange Pkwy","Allen","TX","75013","495000","4","2","2300","","Excellent Allen ISD schools.","local_dataset"
"local-75013-2","900 Bethany Dr","Allen","TX","75013","475000","3","2","2050","","Split bedrooms and oversized garage.","local_dataset"
"local-75013-3","3100 Ridgemont Dr","Allen","TX","75013","520000","4","3","2600","","Game room and covered patio.","local_dataset"
"local-75013-4","2000 Century Pkwy","Allen","TX","75013","505000","4","3","2420","","Open layout with island kitchen.","local_dataset"
"local-75013-5","4300 McDermott Rd","Allen","TX","75013","485000","3","2","2180","","Updated bathrooms with tile showers.","local_dataset"
"local-75013-6","1600 Greenville Ave","Allen","TX","75013","530000","4","3","2550","","Community sidewalks and green spaces.","local_dataset"
"local-75013-7","750 E Main St","Allen","TX","75013","468000","3","2","2020","","Near downtown Allen events and dining.","local_dataset"
"local-75013-8","5100 Chaparral Rd","Allen","TX","75013","510000","4","3","2480","","Formal dining and study off entry.","local_dataset"
"local-75013-9","2700 W McDermott Dr","Allen","TX","75013","492000","3","2","2200","","New roof and gutters in 2024.","local_dataset"
"local-75013-10","3800 Alma Dr","Allen","TX","75013","525000","4","3","2520","","Covered back porch with ceiling fan.","local_dataset"
"local-75013-11","1100 Stacy Rd","Allen","TX","75013","478000","3","2","2090","","Quiet street near Reid Farm park.","local_dataset"
"local-75013-12","4700 Watters Rd","Allen","TX","75013","542000","4","3","2620","","Large master with dual vanities.","local_dataset"
"local-75002-1","300 E Main St","Allen","TX","75002","460000","3","2","2000","","Close to downtown Allen.","local_dataset"
"local-75002-2","1800 Jupiter Rd","Allen","TX","75002","480000","4","2","2200","","New roof and HVAC.","local_dataset"
"local-75002-3","2400 Buckingham Rd","Allen","TX","75002","472000","3","2","2080","","Large fenced yard with storage shed.","local_dataset"
"local-75002-4","600 N Greenville Ave","Allen","TX","75002","488000","4","2","2220","","Open floor plan with fireplace.","local_dataset"
"local-75002-5","3500 Rowlett Rd","Allen","TX","75002","462000","3","2","1980","","Established neighborhood near parks.","local_dataset"
"local-75002-6","1300 N Watters Rd","Allen","TX","75002","495000","4","3","2380","","Pool and spa on extended lot.","local_dataset"
